Model,Accuracy,Precision,Recall,F1-Score,TN,FP,FN,TP
XGBoost,0.8603954221753207,0.8421625046984005,0.8372769596066953,0.836605885902677,5458,799,747,3951
Random Forest,0.8783499180390046,0.8684118075314199,0.8447891816446816,0.8525827362963165,5601,656,683,4015
SVM,0.8904244857364351,0.8666492154428578,0.8768569473321783,0.8712122064256504,5605,652,556,4142
Logistic Regression,0.8556922460216392,0.8577824415795273,0.7992162735055741,0.8171726633570383,5592,665,935,3763
